name_tw	itemId		
火之碎晶	2		
冰之碎晶	3		
風之碎晶	4		
土之碎晶	5		
雷之碎晶	6		
水之碎晶	7		
火之水晶	8		
冰之水晶	9		
風之水晶	10		
土之水晶	11		
雷之水晶	12		
水之水晶	13		
火之晶簇	14		
冰之晶簇	15		
風之晶簇	16		
土之晶簇	17		
雷之晶簇	18		
水之晶簇	19		
風化短劍	1601		
變種劍	1602		
青銅維京劍	1603		
梣木石刃棒	1604		
青銅騎兵劍	1605		
鈍化手半劍	1606		
黃銅手半劍	1607		
黃銅維京劍	1609		
殘戮劍	1611		
鈍化哥布林彎刀	1613		
黑鐵短劍	1614		
鈍化維京劍	1616		
鈍化哥布林長劍	1621		
黑鐵騎兵劍	1622		
白鋼寬刃劍	1625		
榆木石刃棒	1627		
白鋼彎刃刀	1633		
古典手半劍	1635		
鈍化神風彎刀	1636		
胡桃石刃棒	1637		
白鋼長劍	1639		
哥布林彎刀	1642		
秘銀寬刃劍	1643		
古典維京劍	1648		
哥布林長劍	1649		
白羽橡木石刃棒	1650		
鈷鐵鬥劍	1657		
鈷鐵賽施爾長刀	1659		
托爾穆恩的驕傲	1662		
鈷鐵翼劍	1663		
巨膽長劍	1666		
神風彎刀	1670		
破甲鋒	1673		
風化骨拳	1680		
獸骨骨拳	1681		
鞣革護拳	1682		
牡羊角爪	1683		
金屬指虎	1684		
硬革護拳	1685		
黃銅指虎	1686		
硬革鋼拳	1688		
鐵甲指虎	1694		
蟾蜍鋼拳	1697		
白鋼爪	1699		
舊化骨拳	1701		
蟹甲骨拳	1706		
野豬護拳	1708		
秘銀爪	1711		
龜甲骨拳	1716		
鈷鐵指虎	1723		
毒蜥蜴革鋼拳	1728		
西蒙的愛爪	1731		
古典骨拳	1732		
鈷鐵爪	1733		
巨膽利爪	1736		
野性鋼拳	1740		
復仇烈拳	1743		
風化戰斧	1749		
青銅戰斧	1750		
青銅雙刃斧	1751		
陰雲戰斧	1752		
青銅刺柄雙刃斧	1753		
黑鐵戰斧	1754		
黑鐵雙刃斧	1756		
業火戰斧	1758		
黑鐵鉤斧	1764		
雷暴戰斧	1766		
白鋼刺柄雙刃斧	1769		
舊化鉤斧	1771		
白鋼巨斧	1776		
白鋼長刃斧	1778		
秘銀刺柄雙刃斧	1781		
秘銀長刃斧	1786		
海盜巨斧	1796		
西博爾德的所及	1799		
古典鉤斧	1800		
半月長刃斧	1801		
鈷鐵刺柄雙刃斧	1803		
巨膽戰斧	1806		
野蠻巨斧	1810		
暴怒震斧	1813		
風化長槍	1819		
獸骨漁槍	1820		
青銅長槍	1821		
牡羊角漁槍	1822		
犬牙漁槍	1823		
黃銅長槍	1824		
黑鐵長槍	1825		
黑鐵騎槍	1827		
黑鐵戰戈	1833		
白銀戰叉	1836		
黑鐵戰戟	1838		
舊化戰戈	1840		
白鋼長槍	1845		
白鋼重騎槍	1847		
蟹甲漁槍	1850		
祕銀長槍	1855		
鈷鐵戰戟	1862		
三尖槍	1867		
蓋爾巴爾德的朱刺	1870		
古典戰戈	1871		
雄鹿戰戈	1872		
巨膽三尖槍	1875		
冠軍騎槍	1879		
方尖槍	1882		
風化短弓	1889		
楓木短弓	1891		
楓木長弓	1892		
白羽楓木短弓	1893		
革裝楓木長弓	1894		
梣木短弓	1895		
榆木長弓	1897		
高速榆木短弓	1899		
革裝榆木長弓	1905		
梣木複合弓	1908		
舊化戰弓	1910		
梣木騎兵弓	1915		
橡木長弓	1917		
秘銀騎兵弓	1920		
橡木複合弓	1925		
鈷鐵騎兵弓	1932		
紫杉長弓	1937		
阿蕾索妮的歌弓	1940		
古典戰弓	1941		
蟹甲戰弓	1942		
巨膽長弓	1945		
長臂複合弓	1949		
薩倫伽光弓	1953		
楓木幻杖	1958		
低語楓木幻杖	1959		
綠葉楓木幻杖	1960		
梣木幻杖	1961		
綠葉梣木幻杖	1963		
低語梣木幻杖	1965		
紫杉幻杖	1967		
綠葉紫杉幻杖	1969		
綠葉橡木幻杖	1971		
冰華幻杖	1974		
土華幻杖	1976		
水華幻杖	1978		
火華幻杖	1981		
風華幻杖	1983		
雷華幻杖	1985		
綠葉紫檀幻杖	1987		
風化牧杖	1995		
楓木牧杖	1996		
楓木手杖	1997		
梣木根杖	1998		
榆木牧杖	2000		
榆木手杖	2002		
紫杉根杖	2004		
銅鈴紫杉牧杖	2010		
紫杉手杖	2011		
舊化牧杖	2014		
胡桃木牧杖	2015		
黑羽手杖	2021		
橡木根杖	2023		
銅鈴橡木牧杖	2026		
萌芽紫檀根杖	2030		
翡翠手杖	2039		
古典牧杖	2041		
札布蘭的風暴	2043		
銅鈴紅木牧杖	2044		
樹靈神	2047		
巨膽牧杖	2048		
狂人低語	2049		
七公六杖	2051		
風化咒杖	2055		
獸骨咒角	2056		
紅銅咒杖	2057		
青銅咒杖	2058		
黃銅咒錘	2059		
黃銅咒杖	2061		
風華咒角	2063		
寒冰烙印	2066		
舊化咒錘	2068		
白銀咒杖	2069		
土華咒角	2071		
熏銀咒杖	2076		
火華咒角	2078		
雷華咒角	2083		
綠金咒杖	2088		
古典咒錘	2093		
水華咒角	2094		
翡翠咒杖	2097		
染血咒杖	2102		
獸骨長杖	2106		
牡羊角長杖	2107		
蟹甲獸骨長杖	2108		
獸齒牡羊角長杖	2109		
羚羊角長杖	2111		
血角長杖	2116		
獸齒羚羊角長杖	2118		
山羊角長杖	2121		
獸齒山羊角長杖	2123		
獸角長杖	2125		
黑角長杖	2130		
奧布里耶的低語	2132		
白牙長杖	2133		
巨膽長杖	2136		
星盤杖	2139		
風化魔導書	2142		
鞣革魔導書	2143		
楓木巫書	2144		
雕花鞣革魔導書	2145		
梣木巫書	2146		
硬革魔導書	2147		
雕花硬革魔導書	2149		
紫杉巫書	2151		
山羊革魔導書	2156		
舊化巫書	2158		
雕花山羊革魔導書	2160		
白銀之書	2166		
雕花白銀之書	2169		
秘銀之書	2174		
古典巫書	2184		
綠金之書	2185		
雕花綠金之書	2189		
薩維奈魔咒書	2193		
薩維奈癒咒書	2194		
博學治癒巫書	2201		
博學詠咒巫書	2202		
神言集	2211		
神恩集	2212		
楓木方盾	2219		
公會紋章盾	2220		
舊化方盾	2224		
舊化重盾	2225		
青銅重盾	2226		
舊化小圓盾	2227		
圓盾	2228		
鞣革皮盾	2229		
